model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,target,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,seq_len,n_test_total,avg_epochs_trained,artifact_path
Informer,G2_price_technical,64,32,0.001,20,10,64,target_h5,ok,,0.016276301816105843,0.013159513473510742,0.7301587301587301,5.263514370877044,4962,17,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G2_price_technical_Informer_lag64_h32_lr0.001_e20_p10.pt
Informer,G3_plus_breadth,64,32,0.001,20,10,64,target_h5,ok,,0.01795090176165104,0.015221021138131618,0.36507936507936506,-2.0812556411049425,4962,24,64,63,14.0,artifacts/models/deep_torch/target_h5/target_h5_G3_plus_breadth_Informer_lag64_h32_lr0.001_e20_p10.pt
Autoformer,G1_price_only,64,32,0.001,20,10,64,target_h5,ok,,0.021220747381448746,0.015934739261865616,0.6507936507936508,2.6397270659963534,4962,8,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G1_price_only_Autoformer_lag64_h32_lr0.001_e20_p10.pt
Autoformer,G2_price_technical,64,32,0.001,20,10,64,target_h5,ok,,0.020383229479193687,0.017470190301537514,0.38095238095238093,-0.49439858242012,4962,17,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G2_price_technical_Autoformer_lag64_h32_lr0.001_e20_p10.pt
Autoformer,G3_plus_breadth,64,32,0.001,20,10,64,target_h5,ok,,0.026860853657126427,0.021806668490171432,0.6507936507936508,2.6397270659963534,4962,24,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G3_plus_breadth_Autoformer_lag64_h32_lr0.001_e20_p10.pt
FEDformer,G1_price_only,64,32,0.001,20,10,64,target_h5,ok,,0.015698736533522606,0.012647589668631554,0.6349206349206349,5.2680830394585385,4962,8,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G1_price_only_FEDformer_lag64_h32_lr0.001_e20_p10.pt
FEDformer,G2_price_technical,64,32,0.001,20,10,64,target_h5,ok,,0.017112085595726967,0.013931059278547764,0.5396825396825397,-0.11191570512244015,4962,17,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G2_price_technical_FEDformer_lag64_h32_lr0.001_e20_p10.pt
FEDformer,G3_plus_breadth,64,32,0.001,20,10,64,target_h5,ok,,0.019179875031113625,0.014917322434484959,0.6031746031746031,-0.1589245263293235,4962,24,64,63,11.0,artifacts/models/deep_torch/target_h5/target_h5_G3_plus_breadth_FEDformer_lag64_h32_lr0.001_e20_p10.pt
LSTM,G1_price_only,64,32,0.001,20,10,64,target_h5,ok,,0.08340456336736679,0.08180500566959381,0.6507936507936508,2.6397270659963534,4962,8,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G1_price_only_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G2_price_technical,64,32,0.001,20,10,64,target_h5,ok,,0.035769373178482056,0.031632330268621445,0.3492063492063492,-2.6397270659963534,4962,17,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G2_price_technical_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G3_plus_breadth,64,32,0.001,20,10,64,target_h5,ok,,0.018711302429437637,0.014911385253071785,0.47619047619047616,-2.6060031958685244,4962,24,64,63,18.0,artifacts/models/deep_torch/target_h5/target_h5_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt
