"symbol","target","model_name","feature_group","n_splits","test_size","min_train_size","embargo","val_size","source_best_report","source_best_artifact","lag_window","hidden_size","lr","epochs","patience","batch_size","status","note","rmse","mae","directional_accuracy","sharpe","n_rows","n_features","seq_len","n_test_total","avg_epochs_trained","artifact_path"
"SBUX","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0189855173230171","0.0150335226207971","0.5396825396825397","0.8755304690726615","5277","17","64","126","12.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\SBUX\SBUX_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"XEL","target_h1","LSTM","G3_plus_breadth","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.019177619367837906","0.01384491566568613","0.4523809523809524","-0.008945770066511587","5148","22","64","126","15.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\XEL\XEL_target_h1_LSTM_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt"
"WBD","target_h1","LSTM","G3_plus_breadth","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.019177619367837906","0.01384491566568613","0.4523809523809524","-0.008945770066511587","5148","22","64","126","15.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\WBD\WBD_target_h1_LSTM_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt"
"VRSK","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.019320473074913025","0.014353862963616848","0.5079365079365079","-0.06049495522115474","5277","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\VRSK\VRSK_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"TXN","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.019320473074913025","0.014353862963616848","0.5079365079365079","-0.06049495522115474","5277","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\TXN\TXN_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"VRTX","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.019320473074913025","0.014353862963616848","0.5079365079365079","-0.06049495522115474","5277","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\VRTX\VRTX_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"FTNT","target_h1","LSTM","G3_plus_breadth","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.019361279904842377","0.014882546849548817","0.5634920634920635","2.635535960166605","4048","22","64","126","14.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\FTNT\FTNT_target_h1_LSTM_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt"
"ABNB","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.019512852653861","0.0141140995547175","0.5079365079365079","-1.1408870733535474","1264","17","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\ABNB\ABNB_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"AMZN","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.019515510648489","0.0146348802372813","0.5714285714285714","2.6302037177994646","5277","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\AMZN\AMZN_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"ADI","target_h1","LSTM","G3_plus_breadth","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0195660926401615","0.0153202954679727","0.4523809523809524","-0.2474527840114219","5277","22","64","126","15.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\ADI\ADI_target_h1_LSTM_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt"
"ADSK","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0196904130280017","0.0140821486711502","0.5238095238095238","-1.878522099104638","5277","17","64","126","17.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\ADSK\ADSK_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
